  2018  4 3 0941 28.3 L   8.229 -71.777  5.0F FUN 22 0.9 4.8WFUN                
CAPV  236.00   65.00C                  IP    
SJC   297.00   43.00D                  EP    
CAPV  228.00   65.00C                  EP    
SOCV   92.00   65.00D                  EP    
CAPV  236.00   65.00C                  EP    
SOCV   88.00   65.00D                  EP    
CAPV  235.00   65.00C                  EP    
SOCV   89.00   65.00D                  EP    
SDV    61.00   65.00C                  EP    
MCQV  336.00   43.00D                  EP    
RUS   210.00   43.00C                  EP    
BAUV   79.00   43.00D                  EP    
SJC   296.00   43.00D                  EP    
CAPV  232.00   92.00C                  IP    
SOCV   89.00   65.00D                  EP    
BAUV   80.00   43.00D                  EP    
